,DS,Y
319,2016-11-15,7.0
320,2016-11-16,14.0
321,2016-11-17,1.0
322,2016-11-18,41.0
323,2016-11-19,0.0
324,2016-11-20,8.0
325,2016-11-21,30.0
326,2016-11-22,54.0
327,2016-11-23,12.0
328,2016-11-24,22.0
329,2016-11-25,58.0
330,2016-11-26,43.0
331,2016-11-27,2.0
332,2016-11-28,24.0
333,2016-11-29,32.0
334,2016-11-30,8.0
335,2016-12-01,10.0
336,2016-12-02,24.0
337,2016-12-03,24.0
338,2016-12-04,59.0
339,2016-12-05,5.0
340,2016-12-06,6.0
341,2016-12-07,37.0
342,2016-12-08,13.0
343,2016-12-09,24.0
344,2016-12-10,7.0
345,2016-12-11,2.0
346,2016-12-12,15.0
347,2016-12-13,22.0
348,2016-12-14,12.0
349,2016-12-15,2.0
350,2016-12-16,16.0
351,2016-12-17,13.0
352,2016-12-18,12.0
353,2016-12-19,29.0
354,2016-12-20,7.0
355,2016-12-21,19.0
356,2016-12-22,10.0
357,2016-12-23,12.0
358,2016-12-24,10.0
359,2016-12-25,30.0
360,2016-12-26,20.0
361,2016-12-27,8.0
362,2016-12-28,6.0
363,2016-12-29,17.0
364,2016-12-30,9.0
365,2016-12-31,5.0
366,2017-01-01,5.0
367,2017-01-02,40.0
368,2017-01-03,11.0
369,2017-01-04,18.0
370,2017-01-05,21.0
371,2017-01-06,33.0
372,2017-01-07,11.0
373,2017-01-08,18.0
374,2017-01-09,29.0
375,2017-01-10,31.0
376,2017-01-11,19.0
377,2017-01-12,9.0
378,2017-01-13,11.0
379,2017-01-14,1.0
380,2017-01-15,1.0
381,2017-01-16,4.0
382,2017-01-17,27.0
383,2017-01-18,16.0
384,2017-01-19,9.0
385,2017-01-20,20.0
386,2017-01-21,0.0
387,2017-01-22,2.0
388,2017-01-23,3.0
389,2017-01-24,24.0
390,2017-01-25,2.0
391,2017-01-26,15.0
392,2017-01-27,40.0
393,2017-01-28,11.0
394,2017-01-29,40.0
395,2017-01-30,41.0
396,2017-01-31,31.0
397,2017-02-01,20.0
398,2017-02-02,0.0
399,2017-02-03,5.0
400,2017-02-04,1.0
401,2017-02-05,5.0
402,2017-02-06,31.0
403,2017-02-07,49.0
404,2017-02-08,32.0
405,2017-02-09,11.0
406,2017-02-10,11.0
407,2017-02-11,22.0
408,2017-02-12,41.0
409,2017-02-13,39.0
410,2017-02-14,20.0
411,2017-02-15,54.0
412,2017-02-16,26.0
413,2017-02-17,28.0
414,2017-02-18,20.0
415,2017-02-19,10.0
416,2017-02-20,27.0
417,2017-02-21,13.0
418,2017-02-22,22.0
419,2017-02-23,23.0
420,2017-02-24,1.0
421,2017-02-25,0.0
422,2017-02-26,0.0
423,2017-02-27,0.0
424,2017-02-28,15.0
425,2017-03-01,34.0
426,2017-03-02,11.0
427,2017-03-03,25.0
428,2017-03-04,35.0
429,2017-03-05,32.0
430,2017-03-06,18.0
431,2017-03-07,25.0
432,2017-03-08,29.0
433,2017-03-09,45.0
434,2017-03-10,53.0
435,2017-03-11,15.0
436,2017-03-12,26.0
437,2017-03-13,21.0
438,2017-03-14,25.0
439,2017-03-15,14.0
440,2017-03-16,19.0
441,2017-03-17,24.0
442,2017-03-18,5.0
443,2017-03-19,18.0
444,2017-03-20,21.0
445,2017-03-21,3.0
446,2017-03-22,8.0
447,2017-03-23,4.0
448,2017-03-24,25.0
449,2017-03-25,13.0
450,2017-03-26,23.0
451,2017-03-27,10.0
452,2017-03-28,34.0
453,2017-03-29,11.0
454,2017-03-30,17.0
455,2017-03-31,32.0
456,2017-04-01,13.0
457,2017-04-02,4.0
458,2017-04-03,4.0
459,2017-04-04,2.0
460,2017-04-05,8.0
461,2017-04-06,1.0
462,2017-04-07,10.0
463,2017-04-08,3.0
464,2017-04-09,3.0
465,2017-04-10,1.0
466,2017-04-11,23.0
467,2017-04-12,5.0
468,2017-04-13,16.0
469,2017-04-14,5.0
470,2017-04-15,8.0
471,2017-04-16,8.0
472,2017-04-17,7.0
473,2017-04-18,33.0
474,2017-04-19,10.0
475,2017-04-20,10.0
476,2017-04-21,11.0
477,2017-04-22,8.0
478,2017-04-23,4.0
479,2017-04-24,0.0
480,2017-04-25,0.0
481,2017-04-26,2.0
482,2017-04-27,4.0
483,2017-04-28,14.0
484,2017-04-29,0.0
485,2017-04-30,9.0
486,2017-05-01,41.0
487,2017-05-02,35.0
488,2017-05-03,14.0
489,2017-05-04,31.0
490,2017-05-05,20.0
491,2017-05-06,35.0
492,2017-05-07,27.0
493,2017-05-08,29.0
494,2017-05-09,28.0
495,2017-05-10,21.0
496,2017-05-11,16.0
497,2017-05-12,23.0
498,2017-05-13,12.0
499,2017-05-14,27.0
500,2017-05-15,24.0
501,2017-05-16,11.0
502,2017-05-17,12.0
503,2017-05-18,1.0
504,2017-05-19,12.0
505,2017-05-20,15.0
506,2017-05-21,28.0
507,2017-05-22,18.0
508,2017-05-23,15.0
509,2017-05-24,7.0
510,2017-05-25,21.0
511,2017-05-26,29.0
512,2017-05-27,22.0
513,2017-05-28,29.0
514,2017-05-29,40.0
515,2017-05-30,33.0
516,2017-05-31,28.0
517,2017-06-01,18.0
518,2017-06-02,20.0
519,2017-06-03,45.0
520,2017-06-04,29.0
521,2017-06-05,33.0
522,2017-06-06,28.0
523,2017-06-07,36.0
524,2017-06-08,27.0
525,2017-06-09,29.0
526,2017-06-10,24.0
527,2017-06-11,24.0
528,2017-06-12,29.0
529,2017-06-13,22.0
530,2017-06-14,12.0
531,2017-06-15,2.0
532,2017-06-16,3.0
533,2017-06-17,6.0
534,2017-06-18,11.0
535,2017-06-19,15.0
536,2017-06-20,19.0
537,2017-06-21,23.0
538,2017-06-22,36.0
539,2017-06-23,12.0
540,2017-06-24,35.0
541,2017-06-25,30.0
542,2017-06-26,13.0
543,2017-06-27,23.0
544,2017-06-28,27.0
545,2017-06-29,30.0
546,2017-06-30,24.0
547,2017-07-01,25.0
548,2017-07-02,21.0
549,2017-07-03,44.0
550,2017-07-04,21.0
551,2017-07-05,12.0
552,2017-07-06,27.0
553,2017-07-07,21.0
554,2017-07-08,14.0
555,2017-07-09,9.0
556,2017-07-10,9.0
557,2017-07-11,12.0
558,2017-07-12,19.0
559,2017-07-13,23.0
560,2017-07-14,10.0
561,2017-07-15,9.0
562,2017-07-16,3.0
563,2017-07-17,47.0
564,2017-07-18,28.0
565,2017-07-19,81.0
566,2017-07-20,63.0
567,2017-07-21,28.0
568,2017-07-22,28.0
569,2017-07-23,12.0
570,2017-07-24,38.0
571,2017-07-25,15.0
572,2017-07-26,19.0
573,2017-07-27,30.0
574,2017-07-28,17.0
575,2017-07-29,19.0
576,2017-07-30,12.0
577,2017-07-31,56.0
578,2017-08-01,19.0
579,2017-08-02,20.0
580,2017-08-03,46.0
581,2017-08-04,20.0
582,2017-08-05,26.0
583,2017-08-06,10.0
584,2017-08-07,15.0
585,2017-08-08,25.0
586,2017-08-09,32.0
587,2017-08-10,14.0
588,2017-08-11,35.0
589,2017-08-12,16.0
590,2017-08-13,27.0
591,2017-08-14,53.0
592,2017-08-15,8.0
593,2017-08-16,11.0
594,2017-08-17,10.0
595,2017-08-18,14.0
596,2017-08-19,7.0
597,2017-08-20,14.0
598,2017-08-21,16.0
599,2017-08-22,25.0
600,2017-08-23,37.0
601,2017-08-24,19.0
602,2017-08-25,28.0
603,2017-08-26,16.0
604,2017-08-27,10.0
605,2017-08-28,18.0
606,2017-08-29,19.0
607,2017-08-30,25.0
608,2017-08-31,28.0
609,2017-09-01,21.0
610,2017-09-02,19.0
611,2017-09-03,17.0
612,2017-09-04,43.0
613,2017-09-05,32.0
614,2017-09-06,39.0
615,2017-09-07,28.0
616,2017-09-08,0.0
617,2017-09-09,6.0
618,2017-09-10,25.0
619,2017-09-11,15.0
620,2017-09-12,29.0
621,2017-09-13,27.0
622,2017-09-14,49.0
623,2017-09-15,31.0
624,2017-09-16,27.0
625,2017-09-17,6.0
626,2017-09-18,17.0
627,2017-09-19,18.0
628,2017-09-20,14.0
629,2017-09-21,12.0
630,2017-09-22,12.0
631,2017-09-23,7.0
632,2017-09-24,3.0
633,2017-09-25,22.0
634,2017-09-26,33.0
635,2017-09-27,24.0
636,2017-09-28,23.0
637,2017-09-29,27.0
638,2017-09-30,23.0
639,2017-10-01,15.0
640,2017-10-02,25.0
641,2017-10-03,28.0
642,2017-10-04,37.0
643,2017-10-05,11.0
644,2017-10-06,21.0
645,2017-10-07,3.0
646,2017-10-08,13.0
647,2017-10-09,11.0
648,2017-10-10,16.0
649,2017-10-11,21.0
650,2017-10-12,11.0
651,2017-10-13,0.0
652,2017-10-14,0.0
653,2017-10-15,11.0
654,2017-10-16,26.0
655,2017-10-17,38.0
656,2017-10-18,45.0
657,2017-10-19,31.0
658,2017-10-20,23.0
659,2017-10-21,10.0
660,2017-10-22,14.0
661,2017-10-23,26.0
662,2017-10-24,13.0
663,2017-10-25,17.0
664,2017-10-26,29.0
665,2017-10-27,10.0
666,2017-10-28,16.0
667,2017-10-29,19.0
668,2017-10-30,30.0
669,2017-10-31,15.0
670,2017-11-01,2.0
671,2017-11-02,15.0
672,2017-11-03,11.0
673,2017-11-04,2.0
674,2017-11-05,15.0
675,2017-11-06,8.0
676,2017-11-07,13.0
677,2017-11-08,14.0
678,2017-11-09,16.0
679,2017-11-10,12.0
680,2017-11-11,4.0
681,2017-11-12,6.0
682,2017-11-13,21.0
683,2017-11-14,4.0
684,2017-11-15,6.0
685,2017-11-16,7.0
686,2017-11-17,12.0
687,2017-11-18,1.0
688,2017-11-19,5.0
689,2017-11-20,23.0
690,2017-11-21,22.0
691,2017-11-22,12.0
692,2017-11-23,8.0
693,2017-11-24,16.0
694,2017-11-25,3.0
695,2017-11-26,14.0
696,2017-11-27,15.0
697,2017-11-28,9.0
698,2017-11-29,6.0
699,2017-11-30,14.0
700,2017-12-01,6.0
701,2017-12-02,17.0
702,2017-12-03,3.0
703,2017-12-04,25.0
704,2017-12-05,27.0
705,2017-12-06,11.0
706,2017-12-07,0.0
707,2017-12-08,13.0
708,2017-12-09,32.0
709,2017-12-10,34.0
710,2017-12-11,1.0
711,2017-12-12,0.0
712,2017-12-13,0.0
713,2017-12-14,0.0
714,2017-12-15,0.0
715,2017-12-16,0.0
716,2017-12-17,0.0
717,2017-12-18,0.0
718,2017-12-19,0.0
719,2017-12-20,0.0
720,2017-12-21,0.0
721,2017-12-22,0.0
722,2017-12-23,21.0
723,2017-12-24,16.0
724,2017-12-25,4.0
725,2017-12-26,14.0
726,2017-12-27,14.0
727,2017-12-28,13.0
728,2017-12-29,15.0
729,2017-12-30,22.0
730,2017-12-31,13.0
731,2018-01-01,6.0
732,2018-01-02,10.0
733,2018-01-03,19.0
734,2018-01-04,4.0
735,2018-01-05,22.0
736,2018-01-06,9.0
737,2018-01-07,30.0
738,2018-01-08,17.0
739,2018-01-09,19.0
740,2018-01-10,3.0
741,2018-01-11,0.0
742,2018-01-12,3.0
743,2018-01-13,8.0
744,2018-01-14,17.0
745,2018-01-15,8.0
746,2018-01-16,1.0
747,2018-01-17,4.0
748,2018-01-18,3.0
749,2018-01-19,3.0
750,2018-01-20,0.0
751,2018-01-21,10.0
752,2018-01-22,3.0
753,2018-01-23,0.0
754,2018-01-24,2.0
755,2018-01-25,0.0
756,2018-01-26,8.0
757,2018-01-27,13.0
758,2018-01-28,9.0
759,2018-01-29,18.0
760,2018-01-30,32.0
761,2018-01-31,17.0
762,2018-02-01,22.0
763,2018-02-02,6.0
764,2018-02-03,17.0
765,2018-02-04,41.0
766,2018-02-05,17.0
767,2018-02-06,15.0
768,2018-02-07,14.0
769,2018-02-08,23.0
770,2018-02-09,20.0
771,2018-02-10,11.0
772,2018-02-11,26.0
773,2018-02-12,14.0
774,2018-02-13,24.0
775,2018-02-14,15.0
776,2018-02-15,5.0
777,2018-02-16,10.0
778,2018-02-17,30.0
779,2018-02-18,16.0
780,2018-02-19,7.0
781,2018-02-20,9.0
782,2018-02-21,14.0
783,2018-02-22,24.0
784,2018-02-23,20.0
785,2018-02-24,17.0
786,2018-02-25,19.0
787,2018-02-26,18.0
788,2018-02-27,7.0
789,2018-02-28,23.0
790,2018-03-01,18.0
791,2018-03-02,31.0
792,2018-03-03,24.0
793,2018-03-04,14.0
794,2018-03-05,25.0
795,2018-03-06,7.0
796,2018-03-07,8.0
797,2018-03-08,19.0
798,2018-03-09,27.0
799,2018-03-10,23.0
800,2018-03-11,5.0
801,2018-03-12,16.0
802,2018-03-13,10.0
803,2018-03-14,20.0
804,2018-03-15,15.0
805,2018-03-16,18.0
806,2018-03-17,28.0
807,2018-03-18,24.0
808,2018-03-19,11.0
809,2018-03-20,16.0
810,2018-03-21,16.0
811,2018-03-22,9.0
812,2018-03-23,0.0
813,2018-03-24,3.0
814,2018-03-25,8.0
815,2018-03-26,10.0
816,2018-03-27,11.0
817,2018-03-28,14.0
818,2018-03-29,11.0
819,2018-03-30,12.0
820,2018-03-31,20.0
821,2018-04-01,20.0
822,2018-04-02,17.0
823,2018-04-03,1.0
824,2018-04-04,23.0
825,2018-04-05,12.0
826,2018-04-06,5.0
827,2018-04-07,18.0
828,2018-04-08,3.0
829,2018-04-09,4.0
830,2018-04-10,18.0
831,2018-04-11,9.0
832,2018-04-12,17.0
833,2018-04-13,8.0
834,2018-04-14,17.0
835,2018-04-15,28.0
836,2018-04-16,9.0
837,2018-04-17,28.0
838,2018-04-18,5.0
839,2018-04-19,9.0
840,2018-04-20,11.0
841,2018-04-21,15.0
842,2018-04-22,9.0
843,2018-04-23,17.0
844,2018-04-24,18.0
845,2018-04-25,20.0
